id,salary,bonus
59ea7840fc13ae1f6d000096,$84217.20,
59ea7840fc13ae1f6d000097,$54737.84,
59ea7840fc13ae1f6d000098,$92092.21,
59ea7840fc13ae1f6d000099,$86117.63,
59ea7840fc13ae1f6d00009a,$92821.29,
59ea7840fc13ae1f6d00009b,$60633.55,$1779.07
59ea7840fc13ae1f6d00009c,$94483.80,$4328.59
59ea7840fc13ae1f6d00009d,$93127.77,
59ea7840fc13ae1f6d00009e,$90581.06,
59ea7840fc13ae1f6d00009f,$86947.54,
59ea7840fc13ae1f6d0000a0,$80646.00,$2924.69
59ea7840fc13ae1f6d0000a1,$50423.64,$1495.33
59ea7840fc13ae1f6d0000a2,$60695.47,
59ea7840fc13ae1f6d0000a3,$85763.22,
59ea7840fc13ae1f6d0000a4,$60600.37,